Item,Description,Labor In Minutes,,
REPAIR-ACER-C731-TRACKPAD-CABLE,Trackpad Cable Repair,15,,
50.GM9N7.003,,,,
REPAIR-ACER-C731-USB-BOARD,I/O Board Repair,15,,
55.GM9N7.001,,,,
REPAIR-ACER-C731-BOTTOM-COVER,Bottom Cover Repair,15,,
60.GM9N7.003,,,,
REPAIR-ACER-C731-PALMREST,Palmrest Repair,30,,
6B.GM9N7.017,,,,
REPAIR-ACER-C731-SPEAKERS,Speaker Repair,15,,
23.GM9N7.001,,,,
REPAIR-ACER-C731-MOTHERBOARD-SWAP-2GB,Motherboard Swap 2GB Repair,30,,
NB.GM811.002,,,,
REPAIR-ACER-C731-MOTHERBOARD-SWAP-4GB,Motherboard Swap 4GB Repair,30,,
NB.GM811.001,,,,
REPAIR-ACER-C731-MOTHERBOARD,Motherboard Repair,30,,
N/A,,,,
REPAIR-ACER-C731-HPJ-REMOVAL,Headphone Jack Removal,15,,
N/A,,,,
REPAIR-ACER-C731-CHARGING-PORT-REMOVAL,Charging Port Removal,15,,
N/A,,,,
REPAIR-ACER-C731-WIFI-SOLDER,Wifi Cable Solder,30,,
N/A,,,,
REPAIR-ACER-C731-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
REPAIR-ACER-C731-OS-RESTORE,Operating System Restore,30,,
N/A,,,,
REPAIR-ACER-C731-MISSING-KEY,Key Cap Replacement,15,,
N/A,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
REPAIR-ACER-CB3-111-DISPLAY-ASSEMBLY,Full Unit Repair for Acer CB3-111,,,
ACER-CB3-111-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-ACER-CB3-111-LCD,LCD Repair,15,,
NT116WHM-N21,,,,
NT116WHM-N11,,,,
N116BGE-EA2REVC.3,,,,
B116XTN02.3-HW:2A/FW:0,,,,
REPAIR-ACER-CB3-111-TOPCOVER,Topcover Repair,30,,
60.MQNN7.034,,,,
REPAIR-ACER-CB3-111-CAMERA,Webcam Repair,15,,
NC.21411.024,,,,
REPAIR-ACER-CB3-111-HINGE-R,Right Hinge Repair,30,,
33.MQNN7.002,,,,
REPAIR-ACER-CB3-111-HINGE-L,Left Hinge Repair,30,,
33.MQNN7.003,,,,
REPAIR-ACER-CB3-111-LVDS,LVDS Cable Repair,30,,
50.MQNN7.004,,,,
REPAIR-ACER-CB3-111-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
ACER-CB3-111-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-ACER-CB3-111-PALMREST,Palmrest Repair,30,,
60.MQNN7.031,,,,
REPAIR-ACER-CB3-111-BATTERY,Battery Repair,30,,
KT.0030G.004,,,,
REPAIR-ACER-CB3-111-SPEAKERS,Speaker Repair,15,,
23.MQNN7.002,,,,
REPAIR-ACER-CB3-111-IO-BOARD,I/O Board Repair,15,,
55.MQNN7.001,,,,
REPAIR-ACER-CB3-111-TRACKPAD,Trackpad Repair,15,,
56.MQNN7.001,,,,
REPAIR-ACER-CB3-111-BOTTOMCOVER,Bottom Cover Repair,15,,
60.MQNN7.032,,,,
REPAIR-ACER-CB3-111-WIFI-CARD,Wifi Card Repair,15,,
KI.WKN01.006,,,,
REPAIR-ACER-CB3-111-MOTHERBOARD,Motherboard Repair,30,,
N/A,,,,
REPAIR-ACER-CB3-111-HPJ-REMOVAL,Headphone Jack Removal,15,,
N/A,,,,
REPAIR-ACER-CB3-111-CHARGING-PORT-REMOVAL,Charging Port Removal,15,,
N/A,,,,
REPAIR-ACER-CB3-111-WIFI-SOLDER,Wifi Cable Solder,30,,
N/A,,,,
REPAIR-ACER-CB3-111-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
REPAIR-ACER-CB3-111-OS-RESTORE,Operating System Restore,30,,
N/A,,,,
REPAIR-ACER-CB3-111-MISSING-KEY,Key Cap Replacement,15,,
N/A,,,,
,,,,
REPAIR-ACER-CB3-431-DISPLAY-ASSEMBLY,Full Unit Repair for Acer CB3-431,,,
ACER-CB3-431-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-ACER-CB3-431-LCD,LCD Repair,15,,
KL.14005.029,,,,
NV140FHM-N41,,,,
N140HCE-EAAREVC.2,,,,
B140HAN02.1-HW:4A/FW:1,,,,
REPAIR-ACER-CB3-431-CAMERA,Webcam Repair,15,,
KS.0HD06.003,,,,
REPAIR-ACER-CB3-431-TOPCOVER,Topcover Repair,30,,
60.GC2N5.004,,,,
REPAIR-ACER-CB3-431-LVDS,LVDS Cable Repair,30,,
50.GC2N5.004,,,,
REPAIR-ACER-CB3-431-BEZEL,Bezel Repair,15,,
60.GC2N5.003,,,,
REPAIR-ACER-CB3-431-HINGECOVER,Hingecover Repair,15,,
42.GC2N5.001,,,,
REPAIR-ACER-CB3-431-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
ACER-CB3-431-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-ACER-CB3-431-PALMREST,Palmrest Repair,30,,
6B.GC2N5.002,,,,
REPAIR-ACER-CB3-431-BATTERY,Battery Repair,30,,
KT.00303.014,,,,
REPAIR-ACER-CB3-431-WIFI-CARD,Wifi Card Repair,15,,
KE.11A0N.001,,,,
REPAIR-ACER-CB3-431-DC-JACK,DC Jack Repair,15,,
50.GC2N5.003,,,,
REPAIR-ACER-CB3-431-IO-BOARD,I/O Board Repair,15,,
55.GC2N5.002,,,,
REPAIR-ACER-CB3-431-BOTTOMCOVER,Bottom Cover Repair,15,,
60.GC2N5.001,,,,
REPAIR-ACER-CB3-431-SPEAKERS,Speaker Repair,15,,
23.GC2N5.001,,,,
REPAIR-ACER-CB3-431-MOTHERBOARD,Motherboard Repair,30,,
N/A,,,,
REPAIR-ACER-CB3-431-HPJ-REMOVAL,Headphone Jack Removal,15,,
N/A,,,,
REPAIR-ACER-CB3-431-CHARGING-PORT-REMOVAL,Charging Port Removla,15,,
N/A,,,,
REPAIR-ACER-CB3-431-WIFI-SOLDER,Wifi Cable Solder,30,,
N/A,,,,
REPAIR-ACER-CB3-431-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
REPAIR-ACER-CB3-431-OS-RESTORE,Operating System Restore,30,,
N/A,,,,
REPAIR-ACER-CB3-431-MISSING-KEY,Key Cap Replacement,15,,
N/A,,,,
,,,,
REPAIR-ACER-CB5-312T-DISPLAY-ASSEMBLY,Full Unit Repair for Acer CB5-312T,,,
ACER-CB5-312T-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-ACER-CB5-312T-TOUCHSCREEN,Touchscreen Repair,30,,
6M.GHPN7.001,,,,
REPAIR-ACER-CB5-312T-HINGECOVER,Hingecover Repair,15,,
42.GHPN7.001,,,,
REPAIR-ACER-CB5-312T-HINGE-L,Left Hinge Repair,30,,
33.GHPN7.001,,,,
REPAIR-ACER-CB5-312T-HINGE-R,Right Hinge Repair,30,,
33.GHPN7.002,,,,
REPAIR-ACER-CB5-312T-LVDS,LVDS Cable Repair,30,,
50.GHPN7.004,,,,
REPAIR-ACER-CB5-312T-MICROPHONE,Microphone Repair,15,,
55.GHPN7.001,,,,
REPAIR-ACER-CB5-312T-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
ACER-CB5-312T-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-ACER-CB5-312T-PALMREST,Palmrest Repair,30,,
6B.GHPN7.031,,,,
REPAIR-ACER-CB5-312T-BOTTOMCOVER,Bottom Cover Repair,15,,
60.GHPN7.002,,,,
REPAIR-ACER-CB5-312T-BATTERY,Battery Repair,30,,
KT.00305.003,,,,
REPAIR-ACER-CB5-312T-SPEAKERS,Speaker Repair,15,,
23.GHPN7.001,,,,
REPAIR-ACER-CB5-312T-TRACKPAD,Trackpad Repair,15,,
56.GHPN7.001,,,,
REPAIR-ACER-CB5-312T-AUDIO-BOARD,Audio Board Repair,15,,
55.GHPN7.002,,,,
REPAIR-ACER-CB5-312T-MOTHERBOARD,Motherboard Repair,30,,
N/A,,,,
REPAIR-ACER-CB5-312T-HPJ-REMOVAL,Headphone Jack Removal,15,,
N/A,,,,
REPAIR-ACER-CB5-312T-CHARGING-PORT-REMOVAL,Charging Port Removal,15,,
N/A,,,,
REPAIR-ACER-CB5-312T-WIFI-SOLDER,Wifi Cable Solder,30,,
N/A,,,,
REPAIR-ACER-CB5-312T-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
REPAIR-ACER-CB5-312T-OS-RESTORE,Operating System Restore,30,,
N/A,,,,
REPAIR-ACER-CB5-312T-MISSING-KEY,Key Cap Replacement,15,,
N/A,,,,
,,,,
REPAIR-ACER-CB5-132T-DISPLAY-ASSEMBLY,Full Unit Repair for Acer CB5-132T,,,
ACER-CB5-132T-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-ACER-CB5-132T-TOUCHSCREEN,Touchscreen Repair,30,,
6M.G54N7.004,,,,
REPAIR-ACER-CB5-132T-MICROPHONE,Microphone Repair,15,,
23.G55N7.002,,,,
REPAIR-ACER-CB5-132T-HINGE-R,Right Hinge Repair,30,,
33.G55N7.001,,,,
REPAIR-ACER-CB5-132T-HINGE-L,Left Hinge Repair,30,,
33.G55N7.002,,,,
REPAIR-ACER-CB5-132T-LVDS,LVDS Cable Repair,30,,
50.G55N7.006,,,,
REPAIR-ACER-CB5-132T-GSENSOR-BOARD,Digitizer Sensor Board,15,,
55.G55N7.003,,,,
REPAIR-ACER-CB5-132T-GSENSOR-CABLE,Digitizer Cable Repair,15,,
50.G55N7.005,,,,
REPAIR-ACER-CB5-132T-TOPCOVER,Topcover Repair,30,,
60.G54N7.001,,,,
REPAIR-ACER-CB5-132T-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
ACER-CB5-132T-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-ACER-CB5-132T-PALMREST,Palmrest Repair,30,,
6B.G54N7.016,,,,
REPAIR-ACER-CB5-132T-BOTTOMCOVER,Bottom Cover Repair,30,,
60.G54N7.002,,,,
REPAIR-ACER-CB5-132T-TRACKPAD,Trackpad Repair,15,,
56.G54N7.001,,,,
REPAIR-ACER-CB5-132T-IO-BOARD,I/O Board Repair,15,,
55.G55N7.002,,,,
REPAIR-ACER-CB5-132T-LED-BOARD,LED Board Repair,15,,
55.G55N7.001,,,,
REPAIR-ACER-CB5-132T-BATTERY,Battery Repair,30,,
KT.00303.017,,,,
REPAIR-ACER-CB5-132T-WIFI-CARD,Wifi Card Repair,15,,
KI.STN01.008,,,,
REPAIR-ACER-CB5-132T-SPEAKERS,Speaker Repair,30,,
23.G55N7.001,,,,
REPAIR-ACER-CB5-132T-MOTHERBOARD,Motherboard Repair,30,,
N/A,,,,
REPAIR-ACER-CB5-132T-HPJ-REMOVAL,Headphone Jack Removla,15,,
N/A,,,,
REPAIR-ACER-CB5-132T-CHARGING-PORT-REMOVAL,Charging Port Repair,15,,
N/A,,,,
REPAIR-ACER-CB5-132T-WIFI-SOLDER,Wifi Cable Solder,30,,
N/A,,,,
REPAIR-ACER-CB5-132T-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
REPAIR-ACER-CB5-132T-OS-RESTORE,Operating System Restore,30,,
N/A,,,,
REPAIR-ACER-CB5-132T-MISSING-KEY,Key Cap Replacement,15,,
N/A,,,,
,,,,
REPAIR-ACER-C771-DISPLAY-ASSEMBLY,Full Unit Repair for Acer C771,,,
ACER-C771-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-ACER-C771-LCD,LCD Repair,15,,
NT116WHM-N21,,,,
NT116WHM-N11,,,,
N116BGE-EA2REVC.3,,,,
B116XTN02.3-HW:2A/FW:0,,,,
REPAIR-ACER-C771-LCD-TOUCH,Touchscreen Repair,15,,
B116XAK01.0-HW:0A/FW:1,,,,
B116XAK01.0-HW:1A/FW:1,,,,
REPAIR-ACER-C771-LVDS,LVDS Cable Repair,30,,
50.GNZN7.004,,,,
REPAIR-ACER-C771-LVDS-TOUCH,LVDS Cable Repair (Touchscreen),30,,
50.GP6N7.001,,,,
,,,,
60.GNZN7.001,,,,
REPAIR-ACER-C771-HINGE-L,Left Hinge Repair,30,,
33.GNZN7.002,,,,
REPAIR-ACER-C771-HINGE-R,Right Hinge Repair,30,,
33.GNZN7.001,,,,
REPAIR-ACER-C771-CAMERA,Webcam Repair,15,,
KS.0HD05.002,,,,
REPAIR-ACER-C771-MICROPHONE,Microphone Repair,15,,
23.GNZN7.002,,,,
REPAIR-ACER-C771-BEZEL,Bezel Repair,15,,
60.GNZN7.002,,,,
REPAIR-ACER-C771-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
ACER-C771-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-ACER-C771-PALMREST,Palmrest Repair,30,,
6B.GNZN7.015,,,,
REPAIR-ACER-C771-TRACKPAD,Trackpad Repair,15,,
56.GNZN7.001,,,,
REPAIR-ACER-C771-SPEAKERS,Speaker Repair,30,,
23.GNZN7.001,,,,
REPAIR-ACER-C771-WIFI-CARD,Wifi Card Repair,15,,
860883-001,,,,
REPAIR-ACER-C771-BOTTOMCOVER,Bottom Cover Repair,15,,
60.GNZN7.003,,,,
REPAIR-ACER-C771-BATTERY,Battery Repair,30,,
KT.00304.004,,,,
REPAIR-ACER-C771-IO-BOARD,I/O Board Repair,15,,
55.GNZN7.001,,,,
REPAIR-ACER-C771-MOTHERBOARD,Motherboard Repair,30,,
N/A,,,,
REPAIR-ACER-C771-HPJ-REMOVAL,Headphone Jack Removal,15,,
N/A,,,,
REPAIR-ACER-C771-CHARGING-PORT-REMOVAL,Charging Port Removal,15,,
N/A,,,,
REPAIR-ACER-C771-WIFI-SOLDER,Wifi Cable Solder,30,,
N/A,,,,
REPAIR-ACER-C771-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
REPAIR-ACER-C771-OS-RESTORE,Operating System Restore,30,,
N/A,,,,
REPAIR-ACER-C771-MISSING-KEY,Key Cap Replacement,15,,
N/A,,,,
,,,,
REPAIR-ACER-R751T-DISPLAY-ASSEMBLY,Full Unit Repair for Acer R751T,,,
ACER-R751T-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-ACER-R751T-TOUCHSCREEN,Touchscreen Repair,30,,
6M.GPZN7.001,,,,
REPAIR-ACER-R751T-TOPCOVER,Topcover Repair,30,,
60.GPZN7.001,,,,
REPAIR-ACER-R751T-HINGE-L,Left Hinge Repair,30,,
33.GPZN7.001,,,,
REPAIR-ACER-R751T-HINGE-R,Right Hinge Repair,30,,
33.GPZN7.002,,,,
REPAIR-ACER-R751T-SENSOR-BOARD,Digitizer Sensor Repair,15,,
55.GPZN7.002,,,,
REPAIR-ACER-R751T-LVDS,LVDS Cable Repair,30,,
50.GPZN7.007,,,,
REPAIR-ACER-R751T-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
ACER-R751T-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-ACER-R751T-PALMREST,Palmrest Repait,30,,
6B.GPZN7.019,,,,
REPAIR-ACER-R751T-BOTTOMCOVER,Bottom Cover Repair,15,,
60.GPZN7.002,,,,
REPAIR-ACER-R751T-BATTERY,Battery Repair,30,,
KT.00204.006,,,,
REPAIR-ACER-R751T-TRACKPAD,Trackpad Repair,15,,
NB.GNJ11.002,,,,
REPAIR-ACER-R751T-WIFI-CARD,Wifi Card Repair,15,,
7265NGW,,,,
REPAIR-ACER-R751T-IO-BOARD,I/O Board Repair,15,,
55.GPZN7.001,,,,
REPAIR-ACER-R751T-SPEAKERS,Speaker Repair,15,,
23.GPZN7.001,,,,
REPAIR-ACER-R751T-MOTHERBOARD,Motherboard Repair,30,,
N/A,,,,
REPAIR-ACER-R751T-HPJ-REMOVAL,Headphone Jack Removal,15,,
N/A,,,,
REPAIR-ACER-R751T-CHARGING-PORT-REMOVAL,Charging Port Removal,15,,
N/A,,,,
REPAIR-ACER-R751T-WIFI-SOLDER,Wifi Cable Solder,30,,
N/A,,,,
REPAIR-ACER-R751T-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
REPAIR-ACER-R751T-OS-RESTORE,Operating System Restore,30,,
N/A,,,,
REPAIR-ACER-R751T-MISSING-KEY,Key Cap Replacement,15,,
N/A,,,,
,,,,
REPAIR-ACER-C910-DISPLAY-ASSEMBLY,Full Unit Repair for Acer C910,,,
ACER-C910-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-ACER-C910-LCD,LCD Repair,15,,
NT156FHM-N41,,,,
N156HGE-EABREVC1,,,,
REPAIR-ACER-C910-CAMERA,Webcam Repair,15,,
NC.21411.03Q,,,,
REPAIR-ACER-C910-TOPCOVER,Topcover Repair,30,,
60.EF3N7.002,,,,
REPAIR-ACER-C910-BEZEL,Bezel Repair,15,,
60.EF3N7.002,,,,
REPAIR-ACER-C910-HINGE-L,Left Hinge Repair,30,,
33.MUNN7.003,,,,
REPAIR-ACER-C910-HINGE-R,Right Hinge Repair,30,,
33.MUNN7.004,,,,
REPAIR-ACER-C910-LVDS,LVDS Cable Repair,30,,
50.MUNN7.006,,,,
REPAIR-ACER-C910-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
ACER-C910-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-ACER-C910-PALMREST,Palmrest Repair,30,,
60.EF3N7.020,,,,
REPAIR-ACER-C910-BATTERY,Battery Repair,30,,
AC14B8K,,,,
REPAIR-ACER-C910-IO-BOARD,I/O Board Repair,15,,
55.MUNN7.001,,,,
REPAIR-ACER-C910-LED-BOARD,LED Board Repair,15,,
55.MUNN7.002,,,,
REPAIR-ACER-C910-SPEAKERS,Speaker Repair,15,,
23.MUNN7.002,,,,
REPAIR-ACER-C910-SSD-16GB,SSD Replacement,30,,
KN.16G07.010,,,,
SNS4151S3,,,,
REPAIR-ACER-C910-TRACKPAD,Trackpad Repair,30,,
56.EF3N7.001,,,,
REPAIR-ACER-C910-TRACKPAD-CABLE,Trackpad Cable Repair,15,,
50.MUNN7.001,,,,
REPAIR-ACER-C910-TRACKPAD-BRACKET,Trackpad Bracket Repair,30,,
33.MUNN7.001,,,,
REPAIR-ACER-C910-MOTHERBOARD,Motherboard Repair,30,,
N/A,,,,
REPAIR-ACER-C910-HPJ-REMOVAL,Headphone Jack Removal,15,,
N/A,,,,
REPAIR-ACER-C910-CHARGING-PORT-REMOVAL,Charging Port Removal,15,,
N/A,,,,
REPAIR-ACER-C910-WIFI-SOLDER,Wifi Cable Solder,30,,
N/A,,,,
REPAIR-ACER-C910-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
REPAIR-ACER-C910-OS-RESTORE,Operating System Restore,30,,
N/A,,,,
REPAIR-ACER-C910-MISSING-KEY,Key Cap Replacement,15,,
N/A,,,,
REPAIR-ACER-C732T-DISPLAY-ASSEMBLY,Full Unit Repair for Acer C732T,,,
ACER-C732T-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-ACER-C732T-TOUCHSCREEN,Touchscreen Repair,15,,PRIMARY
KL.11605.044,,,,
LP116WH8,,,,
REPAIR-ACER-C732T-SCREEN,Topcover Repair,30,,PRIMARY
60.GUKN7.002,,,,
REPAIR-ACER-C732T-HINGE-L,Left Hinge Repair,30,,PRIMARY
33.GUMN7.002,,,,
REPAIR-ACER-C732T-HINGE-R,Right Hinge Repair,30,,PRIMARY
33.GUMN7.001,,,,
REPAIR-ACER-C732T-MICROPHONE,Microphone Repair,15,,SECONDARY
23.GUMN7.001,,,,
REPAIR-ACER-C732T-LVDS,LVDS Cable Repair,30,,PRIMARY
50.GULN7.001,,,,
50.GULN7.001-XX,,,,
REPAIR-ACER-C732T-CAMERA,Camera Repair,15,,SECONDARY
KS.0HD06.003,,,,
KS.0HD06.003,,,,
REPAIR-ACER-C732T-BEZEL,Bezel Repair,15,,PRIMARY
60.GUMN7.002,,,,
REPAIR-ACER-C732T-CABLE-RESEAT,Cable Reseat,15,,SECONDARY
N/A,,,,
ACER-C732T-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-ACER-C732T-PALMREST,Palmrest Repair,30,,PRIMARY
6B.GUKN7.001,,,,
REPAIR-ACER-C732T-BOTTOMCOVER,Bottom Cover Repair,15,,PRIMARY
60.GUKN7.001,,,,
REPAIR-ACER-C732T-BATTERY,Battery Repair,30,,PRIMARY
KT.00304.008,,,,
KT.00304.008,,,,
AP13J4K-MODIFIEDCBL,,,,
REPAIR-ACER-C732T-TRACKPAD,Trackpad Repair,15,,SECONDARY
56.GUKN7.001,,,,
REPAIR-ACER-C732T-TRACKPAD-CABLE,Trackpad Cable Repair,15,,SECONDARY
50.GUKN7.004,,,,
REPAIR-ACER-C732T-WIFI-CARD,Wifi Card Repair,15,,SECONDARY
860883-001,,,,
901229-855,,,,
REPAIR-ACER-C732T-USB-BOARD,USB Board Repair,15,,SECONDARY
55.GVJN7.001,,,,
REPAIR-ACER-C732T-SPEAKERS,Speaker Repair,15,,SECONDARY
23.GUKN7.001,,,,
REPAIR-ACER-C732T-MOTHERBOARD,Motherboard Repair,30,,PRIMARY
N/A,,,,
REPAIR-ACER-C732T-HPJ-REMOVAL,Headphone Jack Removal,15,,SECONDARY
N/A,,,,
REPAIR-ACER-C732T-CHARGING-PORT-REMOVAL,Charging Port Removal,15,,SECONDARY
N/A,,,,
REPAIR-ACER-C732T-WIFI-SOLDER,Wifi Cable Solder,30,,PRIMARY
N/A,,,,
REPAIR-ACER-C732T-CABLE-RESEAT,Cable Reseat,15,,SECONDARY
N/A,,,,
REPAIR-ACER-C732T-OS-RESTORE,Operating System Restore,30,,PRIMARY
N/A,,,,
REPAIR-ACER-C732T-MISSING-KEY,Key Cap Replacement,15,,SECONDARY
N/A,,,,
REPAIR-ACER-C732T-MB-SWAP,Motherboard Swap,45,,PRIMARY
NB.GUL11.002,,,,
,,,,
REPAIR-ACER-C732-DISPLAY-ASSEMBLY,Full Unit Repair for Acer C732,,,
ACER-C732-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-ACER-C732-LCD,LCD Repair,15,,PRIMARY
N116BCA-EA1-REVC.1,,,,
N116BGE-EA2REVC.4,,,,
NT116WHM-N21,,,,
N116BGE-EA2REVC.2,,,,
REPAIR-ACER-C732-TOPCOVER,Topcover Repair,30,,PRIMARY
60.GUKN7.002,,,,
REPAIR-ACER-C732-HINGE-L,Left Hinge Repair,30,,PRIMARY
33.GUMN7.002,,,,
REPAIR-ACER-C732-HINGE-R,Right Hinge Repair,30,,PRIMARY
33.GUMN7.001,,,,
REPAIR-ACER-C732-MICROPHONE,Microphone Repair,15,,SECONDARY
23.GUMN7.001,,,,
REPAIR-ACER-C732-LVDS,LVDS Cable Repair,30,,PRIMARY
50.GUKN7.005,,,,
AG-C732-CL00,,,,
REPAIR-ACER-C732-CAMERA,Camera Repair,15,,SECONDARY
KS.0HD06.003,,,,
REPAIR-ACER-C732-BEZEL,Bezel Repair,15,,PRIMARY
60.GUMN7.002,,,,
REPAIR-ACER-C732-CABLE-RESEAT,Cable Reseat,15,,SECONDARY
N/A,,,,
ACER-C732-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-ACER-C732-PALMREST,Palmrest Repair,30,,PRIMARY
6B.GUKN7.001,,,,
REPAIR-ACER-C732-BOTTOMCOVER,Bottom Cover Repair,15,,PRIMARY
60.GUKN7.001,,,,
REPAIR-ACER-C732-BATTERY,Battery Repair,30,,PRIMARY
KT.00304.008,,,,
REPAIR-ACER-C732-TRACKPAD,Trackpad Repair,15,,SECONDARY
56.GUKN7.001,,,,
REPAIR-ACER-C732-TRACKPAD-CABLE,Trackpad Cable Repair,15,,SECONDARY
50.GUKN7.004,,,,
REPAIR-ACER-C732-WIFI-CARD,Wifi Card Repair,15,,SECONDARY
860883-001,,,,
901229-855,,,,
REPAIR-ACER-C732-USB-BOARD,USB Board Repair,15,,SECONDARY
55.GVJN7.001,,,,
REPAIR-ACER-C732-SPEAKERS,Speaker Repair,15,,SECONDARY
23.GUKN7.001,,,,
REPAIR-ACER-C732-MOTHERBOARD,Motherboard Repair,30,,PRIMARY
N/A,,,,
REPAIR-ACER-C732-HPJ-REMOVAL,Headphone Jack Removal,15,,SECONDARY
N/A,,,,
REPAIR-ACER-C732-CHARGING-PORT-REMOVAL,Charging Port Removal,15,,SECONDARY
N/A,,,,
REPAIR-ACER-C732-WIFI-SOLDER,Wifi Cable Solder,30,,PRIMARY
N/A,,,,
REPAIR-ACER-C732-CABLE-RESEAT,Cable Reseat,15,,SECONDARY
N/A,,,,
REPAIR-ACER-C732-OS-RESTORE,Operating System Restore,30,,PRIMARY
N/A,,,,
REPAIR-ACER-C732-MISSING-KEY,Key Cap Replacement,15,,SECONDARY
N/A,,,,
REPAIR-ACER-C732-MB-SWAP,Motherboard Swap,45,,PRIMARY
NB.GUK11.001,,,,
