Item,Description,Labor In Minutes,,
N/A,,,,
REPAIR-LENOVO-100E-CHARGING-PORT-REMOVAL,Charging Port Removal,15,,
N/A,,,,
REPAIR-LENOVO-100E-HPJ-REMOVAL,Headphone Jack Removal,15,,
N/A,,,,
REPAIR-LENOVO-100E-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
REPAIR-LENOVO-100S-BOTTOMCOVER,Bottom Cover Repair,15,,
5CB0K11774,,,,
,,,,
REPAIR-LENOVO-300E,Full Unit Repair for Lenovo 300E,,,
LENOVO-300E-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-LENOVO-300E-TOUCHSCREEN,Touchscreen Repair,30,,
5D10Q93993-WITHLVDS,,,,
5D10Q93993,,,,
REPAIR-LENOVO-300E-CAMERA,Webcam Repair,15,,
5C20Q94010,,,,
REPAIR-LENOVO-300E-TOPCOVER,Topcover Repair,45,,
5CB0Q94001,,,,
REPAIR-LENOVO-300E-HINGECOVER,Hingecover Repair,15,,
5CB0Q94003,,,,
REPAIR-LENOVO-300E-LVDS,LVDS Cable Repair,45,,
5C10Q93986,,,,
REPAIR-LENOVO-300E-HINGESET,Hinge Repair,45,,
5H50Q93990,,,,
REPAIR-LENOVO-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
LENOVO-300E-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-LENOVO-300E-PALMREST,Palmrest Repair,30,,
5CB0Q93995,,,,
REPAIR-LENOVO-300E-BOTTOMCASE,Bottomcase Repair,45,,
5CB0Q93982,,,,
REPAIR-LENOVO-300E-BATTERY,Battery Repair,30,,
,,,,
REPAIR-LENOVO-300E-WIFI-CARD,Wifi Card Repair,30,,
SW10H24548,,,,
REPAIR-LENOVO-300E-SPEAKERS,Speaker Repair,30,,
5SB0Q93988,,,,
REPAIR-LENOVO-300E-AUDIO-BOARD,I/O Board Repair,30,,
5A50Q94004,,,,
REPAIR-LENOVO-300E-MISSING-KEY,Key Cap Replacement,15,,
N/A,,,,
REPAIR-LENOVO-300E-MOTHERBOARD,Motherboard Repair,30,,
N/A,,,,
REPAIR-LENOVO-300E-OS-RESTORE,Operating System Restore,30,,
N/A,,,,
REPAIR-LENOVO-300E-CHARGING-PORT-REMOVAL,Charging Port Removal,15,,
N/A,,,,
REPAIR-LENOVO-300E-HPJ-REMOVAL,Headphone Jack Removal,15,,
N/A,,,,
REPAIR-LENOVO-300E-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
,,,,
REPAIR-LENOVO-300EG2,Full Unit Repair for Lenovo 300E Gen 2,,,
LENOVO-300EG2-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-LENOVO-300EG2-TOUCHSCREEN,Touchscreen Repair,30,,
5D10N24832,,,,
AG-300EG2T-LC00,,,,
REPAIR-LENOVO-300EG2-CAMERA,Webcam Repair,15,,
5C20T79479,,,,
5C20T79479,,,,
REPAIR-LENOVO-300EG2-TOPCOVER,Topcover Repair,45,,
AG-300EG2T-TC00,,,,
5CB0U63947,,,,
REPAIR-LENOVO-300EG2-HINGECOVER,Hingecover Repair,15,,
5CB0T45070,,,,
AG-300EG2T-HC00,,,,
REPAIR-LENOVO-300EG2-LVDS,LVDS Cable Repair,45,,
5C10T95191,,,,
REPAIR-LENOVO-300EG2-HINGESET,Hinge Repair,45,,
5H50T95189,,,,
AG-300EG2T-HG00,,,,
REPAIR-LENOVO-300EG2-CABLE-RESEAT,Cable Reseat,15,,DO NOT PUT ON WEBSITE
N/A,,,,
LENOVO-300EG2-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-LENOVO-300EG2-PALMREST,Palmrest Repair,30,,
5CB0T95165,,,,
AG-300EG2T-PR00,,,,
REPAIR-LENOVO-300EG2-BOTTOMCASE,Bottomcase Repair,45,,
5CB0T95166,,,,
AG-300EG2T-BC00,,,,
REPAIR-LENOVO-300EG2-BATTERY,Battery Repair,30,,
5B10T36867,,,,
AG-300EG2T-BT00,,,,
REPAIR-LENOVO-300EG2-SPEAKERS,Speaker Repair,30,,
5SB0Q93988,,,,
AG-300EG2T-SP00,,,,
REPAIR-LENOVO-300EG2-POWER-BOARD,Power Board Repair,30,,
5C50T95169,,,,
AG-300EG2T-PW00,,,,
REPAIR-LENOVO-300EG2-MISSING-KEY,Key Cap Replacement,15,,
N/A,,,,
REPAIR-LENOVO-300EG2-MOTHERBOARD,Motherboard Repair,30,,
N/A,,,,
REPAIR-LENOVO-300EG2-OS-RESTORE,Operating System Restore,30,,DO NOT PUT ON WEBSITE
N/A,,,,
REPAIR-LENOVO-300EG2-CHARGING-PORT-REMOVAL,Charging Port Removal,15,,
N/A,,,,
REPAIR-LENOVO-300EG2-HPJ-REMOVAL,Headphone Jack Removal,15,,
N/A,,,,
