Item,Description,Labor In Minutes,,
LENOVO-N21-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-LENOVO-N21-LCD,LCD Repair,15,,
NT116WHM-N21,,,,
NT116WHM-N11,,,,
N116BGE-EA2REVC.3,,,,
B116XTN02.3-HW:2A/FW:0,,,,
REPAIR-LENOVO-N21-TOPCOVER,Topcover Repair,30,,
5CB0H70357,,,,
 34NL6LC0050,,,,
REPAIR-LENOVO-N21-BEZEL,Bezel Repair,15,,
5B30H70349,,,,
 35NL6LB0030,,,,
REPAIR-LENOVO-N21-HINGESET,Hinge Repair,30,,
5H50H70346,,,,
REPAIR-LENOVO-N21-CAMERA,Webcam Repair,15,,
5C20H70344,,,,
REPAIR-LENOVO-N21-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
REPAIR-LENOVO-N21-LVDS,LVDS Cable Repair,30,,
5C10H71607,,,,
 DDNL6LLC031,,,,
DDNL6LLC020,,,,
LENOVO-N21-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-LENOVO-N21-PALMREST,Palmrest Repair,15,,
37NL6TC0040,,,,
 5CB0H70355,,,,
REPAIR-LENOVO-N21-BOTTOMCASE,Bottomcase Repair,45,,
5CB0H70354,,,,
 3INL6BA0020,,,,
REPAIR-LENVO-N21-BATTERY,Battery Repair,30,,
5B10H33230,,,,
 L14C3P60,,,,
 5B10H45092,,,,
5B10K10155 ,,,,
  L14M3P23,,,,
REPAIR-LENOVO-N21-SPEAKERSET,Speaker Repair,15,,
 3LNL6SA0000,,,,
REPAIR-LENOVO-N21-RUBBER-FEET,Rubber Feet Replacement,15,,
5F40H70492,,,,
REPAIR-LENOVO-N21-IO-BOARD,I/O Board Repair,30,,
5C50H70342,,,,
REPAIR-LENOVO-N21-DC-JACK,DC Jack Repair,30,,
5C10H70350,,,,
 DD0NL6AD000,,,,
  CTL.NL6.DCIN,,,,
REPAIR-LENOVO-N21-TOUCHPAD,,15,,
N21-TOUCHPAD,,,,
REPAIR-LENOVO-N21-MISSING-KEY,Key Cap Replacement,15,,
N/A,,,,
REPAIR-LENOVO-N21-OS-RESTORE,Operating System Restore,30,,
N/A,,,,
REPAIR-LENOVO-N21-CHARGING-PORT-REMOVAL,Charging Port Removal,15,,
N/A,,,,
REPAIR-LENOVO-N21-HPJ-REMOVAL,Headphone Jack Removal,15,,
N/A,,,,
REPAIR-LENOVO-N21-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
REPAIR-LENOVO-N21-MOTHERBOARD,Motherboard Repair,30,,
N/A,,,,
,,,,
REPAIR-LENOVO-N22,Full Unit Repair for Lenovo N22,,,
LENOVO-N22-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-LENOVO-N22-LCD,LCD Repair,15,,
NT116WHM-N21,,,,
NT116WHM-N11,,,,
N116BGE-EA2REVC.3,,,,
B116XTN02.3-HW:2A/FW:0,,,,
REPAIR-LENOVO-N22-LCD-TOUCHSCREEN,Touchscreen Repair,30,,
5D10K85106,,,,
LP116WH8-SPA1,,,,
KL.11605.039,,,,
 LP116WH8-SPC1,,,,
KL.11608.006,,,,
5D10M56008,,,,
REPAIR-LENOVO-N22-LCD-TOPCOVER,Topcover Repair,30,,
5CB0L13233,,,,
REPAIR-LENOVO-N22-BEZEL,Bezel Repair,15,,
5B30L13244,,,,
REPAIR-LENOVO-N22-BEZEL-TOUCHSCREEN,Touchscreen Repair,30,,
5B30L85299 ,,,,
REPAIR-LENOVO-N22-LVDS-NON-TOUCH ,LVDS Cable Repair,30,,
5C10L13235,,,,
REPAIR-LENOVO-N22-LVDS-TOUCH,LVDS Cable Repair (Touch),30,,
5C10L71643,,,,
 DDNL6TLC011,,,,
REPAIR-LENOVO-N22-CAMERA,Webcam Repair,15,,
5C20L13236,,,,
REPAIR-LENOVO-N22-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
REPAIR-LENOVO-N22-HINGESET,Hinge Repair,30,,
5H50L13241 ,,,,
LENOVO-N22-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-LENOVO-N22-PALMREST,Palmrest Repair,30,,
5CB0L02103,,,,
 37NL6TC0090,,,,
REPAIR-LENOVO-N22-BOTTOMCASE,Bottomcase Repair,45,,
5CB0L13240,,,,
REPAIR-LENOVO-N22-BATTERY,Battery Repair,30,,
5B10K88047,,,,
5B10K88049,,,,
 L15L3PB1,,,,
  5B10K88048,,,,
L15M3PB1,,,,
REPAIR-LENOVO-N22-DC-JACK,DC Jack Repair,30,,
5C10L16464,,,,
REPAIR-LENOVO-N22-SPEAKERSET,Speaker Repair,15,,
5SB0L13237,,,,
REPAIR-LENOVO-N22-IO-BOARD,I/O Board Repair,15,,
5C50H70342,,,,
DANL6LPPI6B0,,,,
DANL6LPI6B0,,,,
REPAIR-LENOVO-N22-RUBBER-FEET,Rubber Feet Replacement,15,,
5F40L13234,,,,
REPAIR-LENOVO-N22-WIFI-CARD,Wifi Card Repair,15,,
SW10H24548,,,,
 00JT535,,,,
REPAIR-LENOVO-N22-MISSING-KEY,Key Cap Replacement,15,,
N/A,,,,
REPAIR-LENOVO-N22-OS-RESTORE,Operating System Restore,30,,
N/A,,,,
REPAIR-LENOVO-N22-CHARGING-PORT-REMOVAL,Charging Port Removal,15,,
N/A,,,,
REPAIR-LENOVO-N22-HPJ-REMOVAL,Headphone Jack Removal,15,,
N/A,,,,
REPAIR-LENOVO-N22-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
REPAIR-LENOVO-N22-MOTHERBOARD,Motherboard Repair,30,,
N/A,,,,
REPAIR-LENOVO-N22-MBSWAP,Motherboard Swap,45,,
5B20L20420,,,,
,,,,
,,,,
REPAIR-LENOVO-N23,Full Unit Repair for Lenovo N23,,,
LENOVO-N23-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-LENOVO-N23-LCD,LCD Repair,15,,
NT116WHM-N21,,,,
NT116WHM-N11,,,,
N116BGE-EA2REVC.3,,,,
B116XTN02.3-HW:2A/FW:0,,,,
REPAIR-LENOVO-N23-LCD-TOUCH,Touchscreen Repair,15,,
LP116WH8-SPA1,,,,
B116XAK01.0-HW:1A/FW:1,,,,
REPAIR-LENOVO-N23-TOPCOVER,Topcover Repair,30,,
5CB0N00707,,,,
REPAIR-LENOVO-N23-HINGESET,Hinge Repair,30,,
5H50N00716 ,,,,
REPAIR-LENOVO-N23-BEZEL,Bezel Repair,15,,
5B30N00700 ,,,,
REPAIR-LENOVO-N23-LVDS,LVDS Cable Repair,30,,
5C10N00701,,,,
REPAIR-LENOVO-N23-LVDS-TOUCH,LVDS Cable Repair (Touch),30,,
5C10N00695,,,,
DDNL6ELC111,,,,
REPAIR-LENOVO-N23-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
REPAIR-LENOVO-N23-CAMERA,Webcam Repair,15,,
5C20L85359,,,,
LENOVO-N23-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-LENOVO-N23-PALMREST,Palmrest Repair,30,,
5CB0N00717,,,,
REPAIR-LENOVO-N23-BOTTOMCASE,Bottomcase Repair,45,,
5CB0N00710,,,,
REPAIR-LENOVO-N23-USB-BOARD,I/O Board Repair,15,,
5C50N00699,,,,
REPAIR-LENOVO-N23-SPEAKERS,Speaker Repair,15,,
5SB0N00715,,,,
REPAIR-LENOVO-N23-WIFI-CARD,Wifi Card Repair,15,,
00JT535,,,,
REPAIR-LENOVO-N23-BATTERY,Battery Repair,30,,
5B10K88047,,,,
REPAIR-LENOVO-N23-TRACKPAD-CABLE,Trackpad Cable Repair,15,,
LENOVO-N23-TP-CABLE,,,,
REPAIR-LENOVO-N23-DC-JACK,DC Jack Repair,15,,
5C10M14090,,,,
REPAIR-LENOVO-N23-MISSING-KEY,Key Cap Replacement,15,,
N/A,,,,
REPAIR-LENOVO-N23-OS-RESTORE,Operating System Restore,30,,
N/A,,,,
REPAIR-LENOVO-N23-CHARGING-PORT-REMOVAL,Charging Port Removal,15,,
N/A,,,,
REPAIR-LENOVO-N23-HPJ-REMOVAL,Headphone Jack Removal,15,,
N/A,,,,
REPAIR-LENOVO-N23-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
REPAIR-LENOVO-N23-MOTHERBOARD,Motherboard Repair,30,,
N/A,,,,
,,,,
REPAIR-LENOVO-N23-YOGA,Full Unit Repair for Lenovo N23 Yoga,,,
LENOVO-N23-YOGA-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-LENOVO-N23-YOGA-TOUCHSCREEN,Touchscreen Repair,30,,
5D68C07628,,,,
5D68C09575,,,,
REPAIR-LENOVO-N23-YOGA-CAMERA,Webcam Repair,30,,
5C28C07629,,,,
REPAIR-LENOVO-N23-YOGA-TOPCOVER,Topcover Repair,30,,
5S58C07634,,,,
REPAIR-LENOVO-N23-YOGA-HINGESET,Hinge Repair,45,,
5SR8C07631,,,,
REPAIR-LENOVO-N23-YOGA-HINGECOVER,Hingecover Repair,15,,
5MO8C07632,,,,
REPAIR-LENOVO-N23-YOGA-LVDS,LVDS Cable Repair,45,,
5C18C07636,,,,
REPAIR-LENOVO-N23-YOGA-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
LENOVO-N23-YOGA-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-LENOVO-N23-YOGA-PALMREST,Palmrest Repair,30,,
5O28C07725,,,,
REPAIR-LENOVO-N23-YOGA-SPEAKERS,Speaker Repair,15,,
5SB8C07630,,,,
REPAIR-LENOVO-N23-YOGA-BATTERY,Battery Repair,30,,
SB18C15129,,,,
REPAIR-LENOVO-N23-YOGA-BOTTOMCASE,Bottomcase Repair,45,,
5S58C07635,,,,
REPAIR-LENOVO-N23-YOGA-AUDIO-BOARD,I/O Board Repair,30,,
5P68C07640,,,,
REPAIR-LENOVO-N23-YOGA-TRACKPAD,Trackpad Repair,15,,
5T58C07633,,,,
REPAIR-LENOVO-N23-YOGA-MISSING-KEY,Key Cap Replacement,15,,
N/A,,,,
REPAIR-LENOVO-N23-YOGA-OS-RESTORE,Operating System Restore,30,,
N/A,,,,
REPAIR-LENOVO-N23-YOGA-CHARGING-PORT-REMOVAL,Charging Port Removal,15,,
N/A,,,,
REPAIR-LENOVO-N23-YOGA-HPJ-REMOVAL,Headphone Jack Removal,15,,
N/A,,,,
REPAIR-LENOVO-N23-YOGA-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
REPAIR-LENOVO-N23-YOGA-MOTHERBOARD,Motherboard Repair,30,,
N/A,,,,
,,,,
REPAIR-LENOVO-N42,Full Unit Repair for Lenovo N42,,,
LENOVO-N42-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-LENOVO-N42-LCD,LCD Repair,15,,
788509-001,,,,
N140BGA-EA3REV.C1,,,,
 LP140WH8-TPD2,,,,
 N140BGE-E33-REV.C2,,,,
N140BGE-E33-REV.C3,,,,
N140BGE-E33-REV.C1,,,,
LP140WH8-TPH2,,,,
 N140BGE-E33,,,,
REPAIR-LENOVO-N42-LCD-TOUCH,Touchscreen Repair,15,,
5D10L60142,,,,
N140BGN-E42REV.C2,,,,
B140XTK01.0-HW:6A/FW:1,,,,
REPAIR-LENOVO-N42-TOPCOVER,Topcover Repair,30,,
5CB0L85353,,,,
REPAIR-LENOVO-N42-BEZEL,Bezel Repair,15,,
5B30L85352,,,,
 35NL7LBLV00,,,,
REPAIR-LENOVO-N42-BEZEL-TOUCH,Bezel Repair (Touch),15,,
35NL7LBV10,,,,
REPAIR-LENOVO-N42-CAMERA,Webcam Repair,15,,
5C20L85359,,,,
REPAIR-LENOVO-N42-LVDS,LVDS Cable Repair,30,,
5C10L85362,,,,
REPAIR-LENOVO-N42-LVDS-TOUCH,LVDS Cable Repair (Touch),30,,
DDNL7TLC001,,,,
REPAIR-LENOVO-N42-HINGESET,Hinge Repair,30,,
5H50L85358,,,,
REPAIR-LENOVO-N42-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
LENOVO-N42-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-LENOVO-N42-PALMREST,Palmrest Repair,30,,
5CB0L85364,,,,
REPAIR-LENOVO-N42-BOTTOMCASE,Bottomcase Repair,45,,
5CB0L85357,,,,
REPAIR-LENOVO-N42-SPEAKERS,Speaker Repair,15,,
5SB0L85356,,,,
REPAIR-LENOVO-N42-USB-BOARD,I/O Board Repair,15,,
5C50L85365,,,,
REPAIR-LENOVO-N42-DC-JACK,DC Jack Repair,30,,
5C10M14090,,,,
REPAIR-LENOVO-N42-BATTERY,Battery Repair,30,,
5B10K88047,,,,
REPAIR-LENOVO-N42-WIFI-CARD,Wifi Card Repair,15,,
00JT535,,,,
REPAIR-LENOVO-N42-CABLE-RESEAT,Cable Reseta,15,,
N/A,,,,
REPAIR-LENOVO-N42-MISSING-KEY,Key Cap Replacement,15,,
N/A,,,,
REPAIR-LENOVO-N42-OS-RESTORE,Operating System Restore,30,,
N/A,,,,
REPAIR-LENOVO-N42-CHARGING-PORT-REMOVAL,Charging Port Removal,15,,
N/A,,,,
REPAIR-LENOVO-N42-HPJ-REMOVAL,Headphone Jack Removal,15,,
N/A,,,,
REPAIR-LENOVO-N42-MOTHERBOARD,Motherboard Repair,30,,
N/A,,,,
,,,,
REPAIR-LENOVO-X131E,Full Unit Repair for Lenovo X131E,,,
LENOVO-X131E-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-LENOVO-X131E-LCD,LCD Repair,15,,
B116XW03V.1-HW:0A/FW:0  ,,,,
B116XW03V.1HW:0AFW:1,,,,
 B116XTN04.0-HW:1A/FW:2,,,,
 B116XW03V.1-HW:0A/FW:1,,,,
 B116XW03V.1-HW:0B-FW:1-A,,,,
REPAIR-LENOVO-X131E-BEZEL,Bezel Repair,15,,
04W3865,,,,
REPAIR-LENOVO-X131E-TOPCOVER,Topcover Repair,45,,
04W3863,,,,
REPAIR-LENOVO-X131E-HINGESET,Hinge Repair,45,,
04W3870,,,,
04W3871,,,,
04W3872,,,,
REPAIR-LENOVO-X131E-LVDS,LVDS Cable Repair,45,,
04W3868,,,,
REPAIR-LENOVO-X131E-CABLE-RESEAT,Cable Repair,15,,
N/A,,,,
REPAIR-LENOVO-X131E-CAMERA,Webcam Repair,15,,
00HN302,,,,
LENOVO-X131E-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-LENOVO-X131E-PALMREST,Palmrest Repair,30,,
04Y1855,,,,
 00HM251,,,,
04W3674,,,,
 04Y1855-NO-TOUCHPAD,,,,
REPAIR-LENOVO-X131E-KEYBOARD,Keyboard Repair,30,,
04X0257,,,,
 04X0258,,,,
  MP-10M83US-9205,,,,
REPAIR-LENOVO-X131E-BOTTOMCASE,Bottomcase Repair,60,,
04W3873,,,,
00HM197-WITHDCJACK,,,,
 00HM197,,,,
00HM199,,,,
REPAIR-LENOVO-X131E-ACCESS-PANEL,Bottom Door Repair,15,,
04W3862,,,,
REPAIR-LENOVO-X131E-BATTERY,Battery Repair,30,,
0A36292,,,,
45N1059,,,,
45N1060,,,,
45N1063,,,,
 45N1062,,,,
45N1058,,,,
 45N1061,,,,
45N1176,,,,
REPAIR-LENOVO-X131E-DC-JACK,DC Jack Repair,45,,
04W3558,,,,
 04W3558-X,,,,
REPAIR-LENOVO-X131E-USB-BOARD,I/O Board Repair,45,,
04W3876,,,,
REPAIR-LENOVO-X131E-VGA-BOARD,VGA Board Repair,45,,
04W3875,,,,
REPAIR-LENOVO-X131E-MOTHERBOARD,Motherboard Repair,60,,
N/A,,,,
REPAIR-LENOVO-X131E-RUBBERFEET,Rubber Feet Replacement,15,,
X131E-RUBBERFEET,,,,
 04Y2096,,,,
REPAIR-LENOVO-X131E-WIFI-CARD,Wifi Card Replacement,15,,
04W3860,,,,
REPAIR-LENOVO-X131E-MISSING-KEY,Key Cap Replacement,15,,
N/A,,,,
REPAIR-LENOVO-X131E-OS-RESTORE,Operating System Restore,30,,
N/A,,,,
REPAIR-LENOVO-X131E-CHARGING-PORT-REMOVAL,Charging Port Removal,15,,
N/A,,,,
REPAIR-LENOVO-X131E-HPJ-REMOVAL,Headphone Jack Removal,15,,
N/A,,,,
REPAIR-LENOVO-X131E-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
REPAIR-LENOVO-X131E-RAM-4GB,RAM Repair,30,,
03X6561 ,,,,
0A65723,,,,
REPAIR-LENOVO-X131E-POWER-BUTTON,Power Button Board Repair,45,,
DAQLI3IB8C0,,,,
